Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
Sc6Al26N32,xtal_7,-413.24652099609375,-6.456976890563965,db://7/xtal_7.cif,7
Sc6Al26N32,xtal_72,-433.8211364746094,-6.7784552574157715,db://7/xtal_72.cif,7
Sc6Al26N32,xtal_74,-422.38482666015625,-6.599762916564941,db://7/xtal_74.cif,7
Sc6Al26N32,xtal_75,-419.0310363769531,-6.547359943389893,db://7/xtal_75.cif,7
Sc6Al26N32,xtal_78,-433.1984558105469,-6.768725872039795,db://7/xtal_78.cif,7
Sc6Al26N32,xtal_80,-403.5414733886719,-6.305335521697998,db://7/xtal_80.cif,7
Sc6Al26N32,xtal_81,-421.65716552734375,-6.588393211364746,db://7/xtal_81.cif,7
Sc6Al26N32,xtal_82,-420.34747314453125,-6.567929267883301,db://7/xtal_82.cif,7
Sc6Al26N32,xtal_83,-397.8299255371094,-6.216092586517334,db://7/xtal_83.cif,7
Sc6Al26N32,xtal_85,-409.6299133300781,-6.400467395782471,db://7/xtal_85.cif,7
Sc6Al26N32,xtal_9,-402.4096984863281,-6.287651538848877,db://7/xtal_9.cif,7
Sc6Al26N32,xtal_90,-413.7842102050781,-6.465378284454346,db://7/xtal_90.cif,7
Sc6Al26N32,xtal_91,-419.9149475097656,-6.561171054840088,db://7/xtal_91.cif,7
Sc6Al26N32,xtal_92,-423.8094482421875,-6.62202262878418,db://7/xtal_92.cif,7
Sc6Al26N32,xtal_11,-424.97991943359375,-6.640311241149902,db://8/xtal_11.cif,8
Sc6Al26N32,xtal_13,-398.4644470214844,-6.226006984710693,db://8/xtal_13.cif,8
Sc6Al26N32,xtal_17,-444.4048767089844,-6.943826198577881,db://8/xtal_17.cif,8
Sc6Al26N32,xtal_2,-396.6424560546875,-6.197538375854492,db://8/xtal_2.cif,8
Sc6Al26N32,xtal_21,-417.5910339355469,-6.52485990524292,db://8/xtal_21.cif,8
Sc6Al26N32,xtal_24,-438.70721435546875,-6.854800224304199,db://8/xtal_24.cif,8
Sc6Al26N32,xtal_28,-426.19708251953125,-6.659329414367676,db://8/xtal_28.cif,8
Sc6Al26N32,xtal_3,-422.117431640625,-6.595584869384766,db://8/xtal_3.cif,8
Sc6Al26N32,xtal_30,-414.33551025390625,-6.473992347717285,db://8/xtal_30.cif,8
Sc6Al26N32,xtal_32,-408.8498229980469,-6.388278484344482,db://8/xtal_32.cif,8
Sc6Al26N32,xtal_33,-416.1083679199219,-6.501693248748779,db://8/xtal_33.cif,8
Sc6Al26N32,xtal_34,-426.87939453125,-6.669990539550781,db://8/xtal_34.cif,8
Sc6Al26N32,xtal_35,-413.58935546875,-6.462333679199219,db://8/xtal_35.cif,8
Sc6Al26N32,xtal_36,-413.5013732910156,-6.460958957672119,db://8/xtal_36.cif,8
Sc6Al26N32,xtal_4,-392.3215026855469,-6.13002347946167,db://8/xtal_4.cif,8
Sc6Al26N32,xtal_42,-415.9657287597656,-6.499464511871338,db://8/xtal_42.cif,8
Sc6Al26N32,xtal_43,-413.5183410644531,-6.46122407913208,db://8/xtal_43.cif,8
Sc6Al26N32,xtal_44,-407.420166015625,-6.365940093994141,db://8/xtal_44.cif,8
Sc6Al26N32,xtal_47,-423.75689697265625,-6.621201515197754,db://8/xtal_47.cif,8
Sc6Al26N32,xtal_48,-422.2474060058594,-6.597615718841553,db://8/xtal_48.cif,8
Sc6Al26N32,xtal_49,-439.10272216796875,-6.860980033874512,db://8/xtal_49.cif,8
Sc6Al26N32,xtal_5,-422.5205078125,-6.6018829345703125,db://8/xtal_5.cif,8
Sc6Al26N32,xtal_51,-415.8791198730469,-6.498111248016357,db://8/xtal_51.cif,8
Sc6Al26N32,xtal_55,-426.69952392578125,-6.667180061340332,db://8/xtal_55.cif,8
