CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Final_Pressure_GPa,Enthalpy_per_Atom_eV,Corrected_Enthalpy_per_Atom_eV,Relaxed_CIF_Path
xtal_62,-61.56025695800781,-2.798193498091264,134.60064188639322,0.02389694612259031,0.3467659961536956,db://185/xtal_62.cif
xtal_7,-61.319366455078125,-2.7872439297762783,150.17857869466147,0.16870831962879346,0.16519337030134218,db://185/xtal_7.cif
xtal_78,-56.63722229003906,-2.5744191950017754,149.58264668782553,0.5760912744556705,0.5848815720509024,db://185/xtal_78.cif
xtal_81,-60.501373291015625,-2.750062422318892,149.52802530924478,0.25609309036649236,0.26558180872231524,db://185/xtal_81.cif
xtal_87,-60.637855529785156,-2.75626616044478,149.50631713867188,0.1946561723466286,0.20440037452276996,db://185/xtal_87.cif
xtal_9,-60.005706787109375,-2.7275321266867896,147.65755208333334,0.2874711532870403,0.3353013390938048,db://185/xtal_9.cif
xtal_91,-59.19352340698242,-2.690614700317383,150.3137003580729,0.29945565134213903,0.293215460742451,db://185/xtal_91.cif
xtal_100,-58.39289855957031,-2.6542226617986504,149.72994995117188,0.4426074940318175,0.44819287715033956,db://186/xtal_100.cif
xtal_101,-61.057167053222656,-2.7753257751464844,149.89778645833334,0.2583521506766857,0.26042078005675023,db://186/xtal_101.cif
xtal_12,-61.986629486083984,-2.817574067549272,149.91070556640625,0.2666213298048238,0.2684584332995918,db://186/xtal_12.cif
xtal_129,-60.30992889404297,-2.74136040427468,150.01180013020834,0.22465945743338914,0.22442614631694158,db://186/xtal_129.cif
xtal_130,-60.52387619018555,-2.7510852813720703,150.29301961263022,0.25033903603888386,0.2444872926040027,db://186/xtal_130.cif
xtal_131,-60.20872116088867,-2.736760052767667,149.69149780273438,0.27816132787373055,0.2843748395571843,db://186/xtal_131.cif
xtal_134,-59.67582702636719,-2.7125375921075996,149.91364542643228,0.25147109431504977,0.25317844860850963,db://186/xtal_134.cif
xtal_138,-59.39531707763672,-2.699787139892578,149.79839579264322,0.25382860725970213,0.2578036922957622,db://186/xtal_138.cif
xtal_14,-53.43452453613281,-2.4288420243696733,168.16467793782553,0.9969114688011781,0.6268711627100478,db://186/xtal_14.cif
xtal_149,-58.270076751708984,-2.648639852350408,150.38057454427084,0.4560348485169641,0.4481777156194968,db://186/xtal_149.cif
xtal_150,-60.195274353027344,-2.7361488342285156,149.85935974121094,0.281684851941486,0.28451703347047586,db://186/xtal_150.cif
xtal_155,-59.2757453918457,-2.694352063265714,150.70946756998697,0.30811877753106776,0.2939845912339287,db://186/xtal_155.cif
xtal_157,-59.269508361816406,-2.6940685619007456,150.78355407714844,0.26635489927133515,0.2509709146764342,db://186/xtal_157.cif
xtal_171,-56.06768798828125,-2.548531272194602,150.00877888997397,0.47973635456863273,0.479559132751991,db://186/xtal_171.cif
xtal_184,-55.155067443847656,-2.5070485201748935,147.23321533203125,0.5476860087870715,0.6050901253811889,db://186/xtal_184.cif
xtal_185,-51.68658447265625,-2.3493902033025567,156.17693583170572,0.8391420957350794,0.7130328254795785,db://186/xtal_185.cif
xtal_188,-58.94888687133789,-2.679494857788086,150.14672342936197,0.363137546867079,0.36016428544317,db://186/xtal_188.cif
xtal_19,-56.043373107910156,-2.5474260503595527,150.1565704345703,0.4827207903590844,0.47956121228474424,db://186/xtal_19.cif
xtal_193,-59.53179168701172,-2.705990531227805,150.03020222981772,0.2535434703114354,0.25294769342958523,db://186/xtal_193.cif
xtal_198,-56.594581604003906,-2.5724809820001777,150.20980326334634,0.6309039422363473,0.62642966295325,db://186/xtal_198.cif
xtal_20,-56.84955978393555,-2.5840708992697974,149.28067525227866,0.539056859611285,0.5541059815653631,db://186/xtal_20.cif
xtal_25,-62.46351623535156,-2.8392507379705254,150.2791951497396,0.3113630016729807,0.3055096560123594,db://186/xtal_25.cif
xtal_28,-59.162879943847656,-2.689221815629439,149.43437703450522,0.5147606798435604,0.5268880505091761,db://186/xtal_28.cif
xtal_3,-61.86648941040039,-2.8121131550181997,150.01754760742188,0.27507077166676713,0.2747096626335335,db://186/xtal_3.cif
xtal_34,-59.8863410949707,-2.7221064134077593,149.8723398844401,0.30715351519213063,0.30973381568549874,db://186/xtal_34.cif
xtal_35,-58.886512756347656,-2.676659670743075,149.23428853352866,0.34532867543666673,0.3608343018644211,db://186/xtal_35.cif
